Name,NumberOfVotes,VotesAgainst,DIISum,DIIAvg
Goodlatte,78,1,42.70833333333333,0.547542735042735
Harper,78,1,56.916666666666664,0.7297008547008547
Gowdy,74,1,55.541666666666664,0.7505630630630631
Gosar,70,10,602.625,8.60892857142857
Gibson,78,17,1434.625,18.392628205128204
Gibbs,78,2,99.625,1.2772435897435896
Graves (GA),77,5,221.79166666666663,2.880411255411255
Calvert,77,1,56.916666666666664,0.7391774891774892
Denham,78,3,232.625,2.9823717948717947
Griffith,77,9,657.5416666666666,8.539502164502164
Roskam,72,1,23.0,0.3194444444444444
Roe (TN),65,2,139.04166666666666,2.139102564102564
Rooney (FL),78,3,206.04166666666666,2.641559829059829
Duncan (TN),76,7,509.33333333333326,6.701754385964911
Reed,78,2,152.79166666666666,1.9588675213675213
Renacci,78,5,203.91666666666663,2.614316239316239
Ribble,77,5,220.875,2.8685064935064934
McSally,78,5,407.875,5.229166666666667
Rigell,78,3,204.66666666666666,2.623931623931624
Mooney (WV),78,6,345.625,4.431089743589744
Moolenaar,77,1,56.916666666666664,0.7391774891774892
MacArthur,78,2,149.58333333333331,1.9177350427350426
Mullin,78,1,56.916666666666664,0.7297008547008547
Benishek,78,2,112.45833333333333,1.4417735042735043
Joyce,78,3,257.375,3.2996794871794872
Black,76,1,42.70833333333333,0.5619517543859649
Jenkins (WV),77,1,56.916666666666664,0.7391774891774892
Bucshon,78,1,56.916666666666664,0.7297008547008547
Brooks (AL),78,12,792.0833333333334,10.15491452991453
Johnson (OH),78,1,56.916666666666664,0.7297008547008547
Costello (PA),77,4,342.7083333333333,4.450757575757575
Curbelo (FL),74,8,704.2083333333333,9.516328828828827
LaMalfa,77,0,0,0
Clawson (FL),71,9,599.3333333333333,8.44131455399061
Carter (GA),78,3,212.0,2.717948717948718
Graves (MO),70,3,247.75,3.539285714285714
Barton,75,3,210.16666666666666,2.802222222222222
Rohrabacher,76,5,363.875,4.787828947368421
Blackburn,74,2,150.95833333333331,2.039977477477477
Zinke,77,1,56.916666666666664,0.7391774891774892
Franks (AZ),77,7,506.58333333333326,6.579004329004328
Dent,78,7,617.0416666666666,7.910790598290598
Grothman,77,7,316.8333333333333,4.1147186147186146
Graves (LA),78,5,300.16666666666663,3.848290598290598
Guinta,78,4,199.70833333333331,2.5603632478632474
Smith (NJ),78,5,405.58333333333326,5.199786324786324
King (NY),78,6,533.0833333333333,6.834401709401709
Chaffetz,73,0,0,0
Messer,77,1,55.541666666666664,0.7213203463203463
Massie,78,21,1463.8333333333333,18.767094017094017
Meadows,78,5,350.5833333333333,4.494658119658119
McKinley,78,0,0,0
Meehan,78,6,516.125,6.61698717948718
Mulvaney,75,10,532.9583333333333,7.10611111111111
Comstock,76,2,156.45833333333331,2.0586622807017543
Lamborn,75,4,293.2083333333333,3.909444444444444
Latta,78,2,112.91666666666666,1.4476495726495726
Barletta,73,4,231.79166666666663,3.1752283105022827
Aderholt,75,1,56.916666666666664,0.7588888888888888
