Name,NumberOfVotes,VotesAgainst,DIISum,DIIAvg
Graves (LA),575,39,2799.5416666666665,4.868768115942029
Guinta,573,36,2650.333333333334,4.625363583478768
Smith (NJ),570,55,4521.916666666665,7.933187134502921
King (NY),570,54,4380.666666666665,7.685380116959061
Chaffetz,548,39,2874.2499999999995,5.244981751824817
Messer,571,30,2116.7916666666665,3.707165791009924
Massie,576,125,8143.541666666665,14.138093171296294
Meadows,572,40,2777.625,4.8559877622377625
McKinley,570,53,4359.5,7.648245614035088
Meehan,574,57,4796.166666666668,8.35569105691057
Mulvaney,554,91,6284.458333333334,11.343787605294827
Comstock,570,33,2551.0833333333326,4.475584795321636
Lamborn,559,30,2004.0416666666667,3.5850477042337507
Latta,577,27,1902.5,3.2972270363951472
Barletta,537,42,2998.249999999999,5.583333333333331
Aderholt,566,38,2771.9583333333326,4.897452885747938
Buchanan,546,44,3376.999999999999,6.184981684981683
Diaz-Balart,568,45,3614.9583333333326,6.364363262910797
Upton,577,41,3247.9583333333335,5.6290439052570775
Conaway,577,29,2025.0416666666667,3.509604274985558
Jolly,568,59,4545.166666666666,8.002053990610328
Flores,570,36,2648.041666666666,4.645687134502923
Farenthold,569,43,3110.624999999999,5.466827768014058
Marino,565,29,2199.6666666666665,3.893215339233038
Kline,576,16,1137.0833333333333,1.974103009259259
Pearce,560,49,3577.7083333333326,6.38876488095238
Bishop (MI),575,27,2042.7499999999995,3.552608695652173
Dold,563,118,10218.29166666667,18.149718768502076
Babin,572,41,2552.2083333333326,4.461902680652679
Newhouse,576,47,3454.708333333333,5.997757523148148
Buck,518,69,4658.291666666667,8.992841055341056
Bost,570,47,3717.333333333333,6.521637426900584
Blum,562,50,3488.875,6.207962633451957
Garrett,568,60,4075.4583333333326,7.175102699530515
"Davis, Rodney",565,61,4914.75,8.698672566371682
Boehner,14,1,58.291666666666664,4.163690476190476
Lucas,573,28,2087.291666666667,3.6427428737638166
Mica,574,35,2412.8333333333335,4.203542392566783
Crawford,542,29,2199.6666666666665,4.0584255842558425
Katko,571,71,5897.333333333333,10.328079392877992
Granger,553,22,1601.8750000000002,2.896699819168174
"Hice, Jody B.",570,59,4005.25,7.026754385964912
Hardy,575,29,2102.041666666667,3.65572463768116
Hurd (TX),575,33,2353.0833333333335,4.09231884057971
Hill,576,33,2507.541666666666,4.353370949074073
LoBiondo,577,90,7706.125,13.355502599653379
Simpson,568,32,2492.791666666666,4.388717723004694
Shuster,572,31,2464.7499999999995,4.309003496503496
Brady (TX),544,18,1157.4166666666665,2.1276041666666665
Royce,569,26,1861.625,3.271748681898067
Sessions,575,28,1924.1250000000002,3.3463043478260874
Kinzinger (IL),571,50,4104.875,7.188922942206655
Issa,576,44,3057.083333333333,5.307436342592592
Salmon,573,53,3247.1249999999995,5.666884816753926
Kelly (PA),576,39,2912.75,5.056857638888889
"Johnson, Sam",563,30,1919.2500000000002,3.408969804618118
Barr,572,28,2047.4166666666667,3.5793997668997672
Bridenstine,571,44,2570.333333333333,4.501459427904261
Brooks (IN),569,25,1969.7083333333333,3.4617018160515522
Yoho,567,69,4719.249999999999,8.323192239858905
Guthrie,574,20,1416.5416666666667,2.46784262485482
Byrne,555,33,2223.8333333333335,4.006906906906907
Gohmert,568,72,4829.041666666667,8.501833920187794
Poliquin,573,50,3863.3333333333335,6.7422920302501455
Coffman,572,44,3456.291666666668,6.042467948717951
Paulsen,571,40,3112.208333333333,5.45045242265032
McClintock,571,57,3312.083333333334,5.80049620548745
"Price, Tom",556,50,3401.7916666666656,6.118330335731413
Webster (FL),574,34,2338.958333333333,4.074840301974448
Poe (TX),567,59,4019.9166666666665,7.089800117577895
Cook,574,22,1700.8750000000002,2.9631968641114987
Cramer,562,31,2237.416666666667,3.9811684460260977
Posey,572,56,3694.7083333333335,6.459280303030304
Collins (NY),573,33,2521.2916666666674,4.4001599767306585
Collins (GA),566,56,3863.8333333333326,6.826560659599528
Duncan (SC),555,57,3677.3750000000005,6.625900900900902
Hurt (VA),560,33,2213.75,3.953125
Hudson,519,40,2686.416666666666,5.176140012845214
Sensenbrenner,577,67,4350.125,7.53921143847487
Holding,573,43,2962.5833333333326,5.170302501454333
Chabot,577,26,1781.875,3.0881715771230502
Ryan (WI),571,16,1110.0416666666665,1.94403093987157
Rogers (AL),568,44,3463.166666666666,6.097124413145539
Fortenberry,563,47,3641.7083333333326,6.468398460627589
Reichert,559,61,4993.583333333334,8.933064997018487
McCarthy,577,0,0,0
DesJarlais,559,47,2935.416666666667,5.2511926058437695
Jones,558,191,14014.333333333336,25.11529271206691
Neugebauer,572,35,2167.1666666666665,3.7887529137529135
Walorski,559,27,1869.5000000000005,3.344364937388194
Wagner,522,20,1401.4166666666667,2.6847062579821204
Ellmers (NC),572,45,3537.041666666666,6.183639277389276
Woodall,562,54,3910.875,6.9588523131672595
Williams,556,31,1994.0416666666667,3.5864058752997603
Wenstrup,575,36,2570.5833333333335,4.470579710144928
Weber (TX),575,64,4000.1666666666665,6.9568115942028985
Nunes,575,21,1550.916666666667,2.6972463768115946
Walker,575,45,3022.333333333333,5.2562318840579705
Noem,557,32,2313.583333333333,4.153650508677438
Nugent,543,46,3326.2916666666656,6.125767341927561
Nunnelee,0,0,0,0
Kelly (MS),245,13,885.2083333333333,3.6130952380952377
Amash,577,147,9827.458333333334,17.031990179087234
McMorris Rodgers,573,19,1350.9166666666667,2.3576207097149506
Marchant,541,37,2492.7499999999995,4.607670979667282
Murphy (PA),574,34,2562.1666666666665,4.463704994192799
Miller (MI),576,21,1709.5,2.9678819444444446
McCaul,577,25,1675.9166666666667,2.904534950895436
Frelinghuysen,574,34,2583.7083333333326,4.501234030197444
